timestamp,UP
1019382,39642
1019882,39642
1020382,39642
1020882,39642
1021382,39642
1021882,39640
1022382,39642
1022882,39641
1023382,39642
1023882,39641
1024382,39640
1024882,39641
1025382,39639
1025882,39640
1026382,39642
1026882,39641
1027382,39640
1027883,39640
1028382,39640
1028882,39640
1029382,39640
1029882,39639
1030382,39640
1030882,39640
1031382,39640
1031882,39639
1032382,39640
1032882,39640
1033382,39640
1033882,39638
1034382,39636
1034882,39639
1035382,39636
1035882,39638
1036382,39637
1036882,39637
1037382,39638
1037882,39638
1038382,39638
1038882,39635
1039382,39637
1039882,39639
1040382,39638
1040882,39639
1041382,39635
1041882,39635
1042382,39638
1042882,39636
1043382,39634
1043883,39637
1044382,39634
1044882,39634
1045382,39635
1045882,39635
1046382,39637
1046882,39636
1047382,39636
1047882,39634
1048382,39635
1048882,39633
1049382,39635
1049882,39635
1050382,39635
1050882,39632
1051382,39633
1051882,39635
1052382,39634
1052882,39633
1053382,39633
1053882,39632
1054382,39631
1054882,39634
1055382,39633
1055882,39636
1056382,39634
1056882,39636
1057382,39632
1057882,39632
1058382,39633
1058882,39632
1059382,39633
1059883,39630
1060382,39631
1060882,39632
1061382,39632
1061882,39631
1062382,39633
1062882,39630
1063382,39631
1063882,39630
1064382,39631
1064882,39629
1065382,39632
1065882,39633
1066382,39632
1066882,39627
1067382,39632
1067882,39630
1068382,39630
1068882,39629
1069382,39632
1069882,39626
1070382,39628
1070882,39630
1071382,39628
1071882,39628
1072382,39630
1072882,39629
1073382,39632
1073882,39629
1074382,39630
1074882,39632
1075382,39626
1075883,39629
1076382,39630
1076882,39626
1077382,39628
1077882,39630
1078382,39629
1078882,39627
1079382,39628
1079882,39625
1080382,39624
1080882,39627
1081382,39626
1081882,39627
1082382,39623
1082882,39628
1083382,39626
1083882,39629
1084382,39626
1084882,39628
1085382,39627
1085882,39626
1086382,39626
1086882,39625
1087382,39625
1087882,39624
1088382,39627
1088882,39625
1089382,39623
1089882,39626
1090382,39625
1090882,39624
1091382,39626
1091883,39626
1092382,39625
1092882,39624
1093382,39624
1093882,39625
1094382,39622
1094882,39626
1095382,39624
1095882,39623
1096382,39624
1096882,39622
1097382,39624
1097882,39624
1098382,39622
1098882,39622
1099382,39622
1099882,39621
1100382,39621
1100882,39622
1101382,39620
1101882,39623
1102382,39620
1102882,39622
1103382,39623
1103882,39621
1104382,39620
1104882,39622
1105382,39618
1105882,39620
1106382,39622
1106882,39620
1107382,39620
1107883,39620
1108382,39616
1108882,39618
1109382,39619
1109882,39617
1110382,39617
1110882,39620
1111382,39619
1111882,39618
1112382,39617
1112882,39616
1113382,39616
1113882,39620
1114382,39618
1114882,39618
1115382,39620
1115882,39620
1116382,39620
1116882,39616
1117382,39616
1117882,39616
1118382,39618
1118882,39614
1119382,39614
1119882,39615
1120382,39616
1120882,39616
1121382,39616
1121891,39616
1122382,39618
1122882,39616
1123382,39616
1123883,39614
1124382,39616
1124882,39616
1125382,39616
1125882,39614
1126382,39614
1126882,39613
1127382,39614
1127882,39613
1128382,39614
1128882,39614
1129382,39612
1129882,39615
1130382,39612
1130882,39615
1131382,39611
1131882,39613
1132382,39611
1132882,39614
1133382,39611
1133882,39611
1134382,39611
1134882,39613
1135382,39609
1135882,39609
1136382,39611
1136882,39607
1137382,39609
1137882,39610
1138382,39610
1138882,39610
1139382,39610
1139883,39609
1140382,39610
