timestamp,UP,Pressure (Pa)
516382,39806,120353
516882,39807,120356
517382,39809,120362
517882,39806,120353
518382,39806,120353
518882,39803,120342
519382,39804,120345
519882,39805,120348
520382,39804,120345
520882,39803,120342
521382,39803,120342
521882,39804,120345
522382,39804,120345
522882,39802,120339
523382,39802,120339
523882,39803,120342
524382,39800,120332
524882,39797,120323
525382,39799,120329
525882,39799,120329
526382,39798,120326
526882,39798,120326
527382,39798,120326
527882,39796,120320
528382,39797,120323
528882,39796,120320
529382,39796,120320
529882,39797,120323
530382,39796,120320
530882,39795,120317
531382,39799,120329
531883,39795,120317
532382,39795,120317
532882,39796,120320
533382,39797,120323
533882,39794,120314
534382,39798,120326
534882,39798,120326
535382,39797,120323
535882,39795,120317
536382,39795,120317
536882,39796,120320
537382,39797,120323
537882,39799,120329
538382,39797,120323
538882,39795,120317
539382,39796,120320
539882,39795,120317
540382,39797,120323
540882,39796,120320
541382,39797,120323
541882,39796,120320
542382,39797,120323
542882,39796,120320
543382,39798,120326
543882,39794,120314
544382,39794,120314
544882,39795,120317
545382,39796,120320
545882,39794,120314
546382,39794,120314
546882,39793,120311
547382,39796,120320
547883,39791,120305
548382,39794,120314
548882,39795,120317
549382,39792,120308
549882,39794,120314
550382,39792,120308
550882,39794,120314
551382,39791,120305
551882,39792,120308
552382,39789,120299
552882,39792,120308
553382,39790,120302
553882,39792,120308
554382,39789,120299
554882,39789,120299
555382,39790,120302
555882,39786,120290
556382,39787,120293
556882,39787,120293
557382,39788,120296
557882,39787,120293
558382,39788,120296
558882,39790,120302
559382,39788,120296
559882,39786,120290
560382,39787,120293
560882,39784,120284
561382,39784,120284
561882,39788,120296
562382,39785,120287
562882,39785,120287
563382,39783,120281
563883,39783,120281
564382,39785,120287
564882,39785,120287
565382,39783,120281
565882,39781,120274
566382,39780,120271
566882,39780,120271
567382,39783,120281
567882,39780,120271
568382,39782,120277
568882,39779,120268
569382,39780,120271
569882,39780,120271
570382,39778,120265
570882,39778,120265
571382,39781,120274
571882,39778,120265
572382,39776,120259
572882,39776,120259
573382,39776,120259
573882,39778,120265
574382,39778,120265
574882,39776,120259
575382,39780,120271
575882,39776,120259
576382,39774,120253
576882,39774,120253
577382,39775,120256
577882,39775,120256
578382,39774,120253
578882,39774,120253
579382,39771,120244
579883,39772,120247
580382,39772,120247
580882,39772,120247
581382,39771,120244
581882,39772,120247
582382,39772,120247
582882,39773,120250
583382,39771,120244
583882,39770,120241
584382,39771,120244
584882,39770,120241
585382,39767,120232
585882,39771,120244
586382,39770,120241
586882,39769,120238
587382,39767,120232
587882,39767,120232
588382,39768,120235
588882,39768,120235
589382,39766,120229
589882,39769,120238
590382,39770,120241
590882,39766,120229
591382,39767,120232
591882,39768,120235
592382,39767,120232
592882,39765,120226
593382,39766,120229
593882,39765,120226
594382,39768,120235
594882,39765,120226
595382,39765,120226
595883,39764,120223
596382,39765,120226
596882,39768,120235
597382,39766,120229
597882,39764,120223
598382,39764,120223
598882,39764,120223
599382,39765,120226
599882,39764,120223
600382,39761,120213
600882,39763,120219
601382,39763,120219
601882,39761,120213
602382,39763,120219
602882,39762,120216
603382,39762,120216
603882,39763,120219
604382,39762,120216
604882,39764,120223
605382,39762,120216
605882,39760,120210
606382,39764,120223
606882,39762,120216
607382,39758,120205
607882,39760,120210
608382,39762,120216
608882,39761,120213
609382,39761,120213
609882,39760,120210
610382,39760,120210
610882,39759,120208
611382,39758,120205
611883,39759,120208
612382,39762,120216
612882,39758,120205
613382,39758,120205
613882,39758,120205
614382,39758,120205
614882,39759,120208
615382,39757,120202
615882,39758,120205
616382,39757,120202
616882,39756,120199
617382,39760,120210
617882,39756,120199
618382,39756,120199
618882,39754,120193
619382,39758,120205
619882,39755,120196
620382,39756,120199
620882,39754,120193
621382,39757,120202
621882,39756,120199
622382,39755,120196
622882,39755,120196
623382,39755,120196
623882,39756,120199
624382,39758,120205
624882,39755,120196
625382,39754,120193
625882,39756,120199
626382,39757,120202
626882,39759,120208
627382,39754,120193
627883,39757,120202
628382,39755,120196
628882,39757,120202
629382,39755,120196
629882,39757,120202
630382,39759,120208
630882,39757,120202
631382,39756,120199
631882,39755,120196
632382,39756,120199
632882,39756,120199
633382,39757,120202
633882,39757,120202
634382,39755,120196
634882,39756,120199
635382,39755,120196
635882,39756,120199
636382,39755,120196
636882,39755,120196
637382,39754,120193
637882,39756,120199
638382,39754,120193
638882,39758,120205
639382,39755,120196
639882,39754,120193
640382,39758,120205
640882,39756,120199
641382,39756,120199
641882,39753,120190
642382,39758,120205
642882,39755,120196
643382,39756,120199
643883,39755,120196
644382,39754,120193
644882,39754,120193
645382,39756,120199
645882,39754,120193
646382,39755,120196
646882,39754,120193
647382,39754,120193
647882,39753,120190
648382,39754,120193
648882,39753,120190
649382,39756,120199
649882,39755,120196
650382,39755,120196
650882,39753,120190
651382,39753,120190
651882,39750,120181
652382,39753,120190
652882,39755,120196
653382,39755,120196
653882,39752,120187
654382,39752,120187
654882,39754,120193
655382,39757,120202
655882,39755,120196
656382,39754,120193
656882,39754,120193
657382,39755,120196
657882,39753,120190
